yield,production,area,year,country
7.92,75734000,9557000,2014,European Union
6.35,58748000,9252000,2015,European Union
7.23,61909000,8557000,2016,European Union
7.52,62021000,8250000,2017,European Union
7.78,64351000,8274000,2018,European Union
7.50,66742000,8901000,2019,European Union
7.30,67440000,9241000,2020,European Union
7.77,71672000,9227000,2021,European Union
5.92,52379000,8850000,2022,European Union
7.43,61868000,8322000,2023,European Union
6.74,58000000,8600000,2024,European Union
2.9,9000000,3100000,2014,Indonesia
3.18,10500000,3300000,2015,Indonesia
3.21,10900000,3400000,2016,Indonesia
3.26,11900000,3650000,2017,Indonesia
3.24,12000000,3700000,2018,Indonesia
3.16,12000000,3800000,2019,Indonesia
3.27,12600000,3850000,2020,Indonesia
3.26,12700000,3900000,2021,Indonesia
2.54,12400000,3500000,2022,Indonesia
3.43,12700000,3700000,2023,Indonesia
3.56,12800000,3600000,2024,Indonesia
3.0,7671000,2561000,2014,Philippines
2.88,6966000,2416000,2015,Philippines
3.02,8087000,2681000,2016,Philippines
3.11,7980000,2570000,2017,Philippines
3.07,7608000,2480000,2018,Philippines
3.20,8030000,2508000,2019,Philippines
3.25,8352000,2573000,2020,Philippines
3.26,8344000,2562000,2021,Philippines
3.28,8322000,2538000,2022,Philippines
3.25,8100000,2490000,2023,Philippines
3.25,8300000,2550000,2024,Philippines
10.73,361136000,33648000,2014,United States
10.57,345506000,32680000,2015,United States
10.96,384778000,35106000,2016,United States
11.08,371096000,33481000,2017,United States
11.07,363787000,32848000,2018,United States
10.52,344651000,32776000,2019,United States
10.76,357819000,33252000,2020,United States
11.09,381469000,34394000,2021,United States
10.89,346739000,31851000,2022,United States
11.13,389667000,35008000,2023,United States
11.26,377633000,33547000,2024,United States
